Date,Open,High,Low,Close,Adj Close,Volume,Symbol
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,
2025-05-07,17706.830078125,17820.2890625,17503.009765625,17738.16015625,17738.16015625,7977870000,^IXIC
2025-05-08,17920.150390625,18096.0,17776.0,17928.140625,17928.140625,8500390000,^IXIC
2025-05-09,18022.55078125,18068.900390625,17853.83984375,17928.919921875,17928.919921875,8835140000,^IXIC
2025-05-12,18674.560546875,18710.220703125,18472.7109375,18708.33984375,18708.33984375,10717670000,^IXIC
2025-05-13,18761.23046875,19065.9609375,18745.5,19010.08984375,19010.08984375,9242230000,^IXIC
2025-05-14,19074.720703125,19174.55078125,19023.609375,19146.810546875,19146.810546875,11744820000,^IXIC
2025-05-15,19031.240234375,19207.220703125,18967.779296875,19112.3203125,19112.3203125,10546350000,^IXIC
2025-05-16,19151.5390625,19213.419921875,19038.48046875,19211.099609375,19211.099609375,10509820000,^IXIC
2025-05-19,18937.419921875,19227.220703125,18937.419921875,19215.4609375,19215.4609375,13080030000,^IXIC
2025-05-20,19132.060546875,19186.689453125,19015.630859375,19142.7109375,19142.7109375,9047100000,^IXIC
2025-05-21,19002.939453125,19241.41015625,18799.19921875,18872.640625,18872.640625,11112460000,^IXIC
2025-05-22,18888.05078125,19061.109375,18840.33984375,18925.740234375,18925.740234375,8289710000,^IXIC
2025-05-23,18622.380859375,18841.51953125,18599.689453125,18737.2109375,18737.2109375,8730370000,^IXIC
2025-05-27,19014.439453125,19210.94921875,18961.689453125,19199.16015625,19199.16015625,93974540000,^IXIC
2025-05-28,19232.619140625,19276.830078125,19084.380859375,19100.939453125,19100.939453125,8087530000,^IXIC
2025-05-29,19389.390625,19389.390625,19091.5390625,19175.869140625,19175.869140625,11016850000,^IXIC
2025-05-30,19131.220703125,19157.779296875,18847.740234375,19113.76953125,19113.76953125,9042260000,^IXIC
2025-06-02,19063.060546875,19252.7109375,18985.30078125,19242.609375,19242.609375,7779940000,^IXIC
2025-06-03,19288.66015625,19459.279296875,19224.69921875,19398.9609375,19398.9609375,7990230000,^IXIC
2025-06-04,19434.939453125,19493.44921875,19359.08984375,19460.490234375,19460.490234375,7695660000,^IXIC
2025-06-05,19518.19921875,19610.509765625,19226.220703125,19298.44921875,19298.44921875,8782360000,^IXIC
