2025-09-29 07:14:36.277 | INFO     | strategies.technical_strategy:backtest:119 - 2317.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.277 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.278 | INFO     | strategies.ml_strategy:backtest:35 - 2317.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.280 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2317.TW, 時間框架: daily
2025-09-29 07:14:36.280 | INFO     | strategies.bigline_strategy:backtest:34 - 2317.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.299 | INFO     | market_analyst:analyze_market:91 - 2317.TW 市場分析完成
2025-09-29 07:14:36.302 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.312 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.325 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.333 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.334 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.337 | INFO     | strategies.technical_strategy:backtest:119 - 2454.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.340 | INFO     | strategies.ml_strategy:backtest:35 - 2454.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.340 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2454.TW, 時間框架: daily
2025-09-29 07:14:36.341 | INFO     | strategies.bigline_strategy:backtest:34 - 2454.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.357 | INFO     | market_analyst:analyze_market:91 - 2454.TW 市場分析完成
2025-09-29 07:14:36.359 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.378 | INFO     | strategies.technical_strategy:backtest:119 - 2308.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.379 | INFO     | strategies.ml_strategy:backtest:35 - 2308.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.379 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2308.TW, 時間框架: daily
2025-09-29 07:14:36.387 | INFO     | strategies.bigline_strategy:backtest:34 - 2308.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.388 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.389 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.394 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.395 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.405 | INFO     | market_analyst:analyze_market:91 - 2308.TW 市場分析完成
2025-09-29 07:14:36.406 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.417 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.421 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.422 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.423 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.420 | INFO     | strategies.technical_strategy:backtest:119 - 2881.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.429 | INFO     | strategies.ml_strategy:backtest:35 - 2881.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.429 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2881.TW, 時間框架: daily
2025-09-29 07:14:36.429 | INFO     | strategies.bigline_strategy:backtest:34 - 2881.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.443 | INFO     | market_analyst:analyze_market:91 - 2881.TW 市場分析完成
2025-09-29 07:14:36.455 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.458 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.458 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.462 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.463 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.468 | INFO     | strategies.technical_strategy:backtest:119 - 2412.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.468 | INFO     | strategies.ml_strategy:backtest:35 - 2412.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.468 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2412.TW, 時間框架: daily
2025-09-29 07:14:36.468 | INFO     | strategies.bigline_strategy:backtest:34 - 2412.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.487 | INFO     | market_analyst:analyze_market:91 - 2412.TW 市場分析完成
2025-09-29 07:14:36.488 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.498 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.501 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
2025-09-29 07:14:36.501 | INFO     | strategies.technical_strategy:backtest:119 - 2382.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.504 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing ml strategy (1 iterations)...
2025-09-29 07:14:36.504 | INFO     | strategies.ml_strategy:backtest:35 - 2382.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.506 | INFO     | strategies.bigline_strategy:backtest:31 - 開始回測 BigLine 策略: 2382.TW, 時間框架: daily
2025-09-29 07:14:36.506 | INFO     | strategies.bigline_strategy:backtest:34 - 2382.TW 非主要交易標的，跳過回測
2025-09-29 07:14:36.505 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing bigline strategy (1 iterations)...
2025-09-29 07:14:36.519 | INFO     | market_analyst:analyze_market:91 - 2382.TW 市場分析完成
2025-09-29 07:14:36.522 | INFO     | strategy_mastermind:optimize_all_strategies:201 - Optimization running in background...
2025-09-29 07:14:36.530 | INFO     | strategy_mastermind:_load_extended_data:211 - Loaded cached extended data: 488 rows
2025-09-29 07:14:36.533 | INFO     | strategy_mastermind:_optimize_thread:189 - Optimizing technical strategy (1 iterations)...
